,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy
0,Bromley - Darwin,5110.0,63.8,81.2,82.4
1,Kensington and Chelsea - Royal Hospital,7252.0,52.3,80.5,89.6
2,Hillingdon - Harefield,7399.0,55.8,78.3,82.3
3,Hammersmith and Fulham - Palace Riverside,7483.0,40.0,80.9,89.0
4,Kensington and Chelsea - Pembridge,7659.0,40.4,82.1,85.7
5,Kensington and Chelsea - Cremorne,7964.0,51.8,83.2,89.7
6,Westminster - Tachbrook,8158.0,33.3,82.2,83.1
7,Kensington and Chelsea - Campden,8178.0,51.5,82.2,85.0
8,Kensington and Chelsea - Stanley,8187.0,48.2,81.2,82.8
9,Kensington and Chelsea - Colville,8377.0,53.3,78.0,88.4
10,Merton - Village,8491.0,49.7,82.6,86.3
11,Kensington and Chelsea - Norland,8675.0,73.9,87.0,88.6
12,Kingston upon Thames - Chessington North and Hook,8741.0,58.9,79.0,87.4
13,Kensington and Chelsea - Hans Town,8792.0,48.2,98.1,92.3
14,Kensington and Chelsea - Brompton,8839.0,47.3,84.8,90.5
15,Kensington and Chelsea - Courtfield,8933.0,49.6,83.5,92.2
16,Kensington and Chelsea - Golborne,8937.0,51.9,85.8,86.0
17,Kingston upon Thames - St. James,8969.0,74.1,79.1,83.9
18,Merton - Hillside,8977.0,60.0,81.0,91.7
19,Merton - Lower Morden,9090.0,67.7,80.1,86.6
20,Kensington and Chelsea - Earl's Court,9104.0,44.9,82.2,92.6
21,Hammersmith and Fulham - College Park and Old Oak,9175.0,46.5,74.4,83.1
22,Kensington and Chelsea - Redcliffe,9245.0,46.9,81.7,89.1
23,Kingston upon Thames - Alexandra,9246.0,55.1,80.8,84.4
24,Merton - Cannon Hill,9249.0,66.9,79.7,83.6
25,Westminster - Knightsbridge and Belgravia,9270.0,30.9,89.9,93.4
26,Merton - Dundonald,9275.0,77.3,80.0,90.1
27,Kensington and Chelsea - St. Charles,9343.0,59.5,78.9,82.3
28,Westminster - Warwick,9369.0,40.7,80.7,95.1
29,Richmond upon Thames - Hampton North,9387.0,47.3,80.7,87.3
30,Kingston upon Thames - Old Malden,9431.0,62.6,82.4,85.9
31,Kingston upon Thames - Berrylands,9437.0,60.4,78.4,83.9
32,Merton - Merton Park,9485.0,57.1,84.5,88.5
33,Kensington and Chelsea - Notting Barns,9537.0,67.1,78.9,84.7
34,Kingston upon Thames - Tudor,9578.0,61.7,82.5,86.4
35,Sutton - Sutton South,9599.0,85.8,77.2,81.7
36,Westminster - Churchill,9618.0,46.0,74.6,81.9
37,Lambeth - Bishop's,9675.0,38.2,78.0,84.0
38,Sutton - Carshalton South and Clockhouse,9715.0,53.7,80.2,82.0
39,Merton - Raynes Park,9738.0,82.3,80.0,83.8
40,Kingston upon Thames - Coombe Vale,9750.0,51.4,80.2,85.3
41,Richmond upon Thames - Whitton,9752.0,76.8,79.7,85.8
42,Kensington and Chelsea - Holland,9767.0,72.6,90.4,86.1
43,Merton - Trinity,9798.0,93.8,80.6,83.9
44,Merton - Graveney,9816.0,91.8,82.9,85.6
45,Bromley - Shortlands,9824.0,48.2,83.0,87.9
46,Kingston upon Thames - Tolworth and Hook Rise,9833.0,74.0,80.3,89.7
47,Barking and Dagenham - Parsloes,9839.0,94.1,76.8,81.8
48,Kensington and Chelsea - Queen's Gate,9847.0,50.7,94.5,86.6
49,Merton - West Barnes,9862.0,82.0,82.9,82.4
50,Barking and Dagenham - Valence,9867.0,101.1,72.6,78.0
51,Bromley - Biggin Hill,9951.0,60.0,82.2,86.2
52,Merton - Ravensbury,9968.0,93.2,78.0,81.4
53,Richmond upon Thames - Hampton,9985.0,78.5,81.1,86.6
54,Richmond upon Thames - South Twickenham,9987.0,74.1,82.5,87.0
55,Bromley - Mottingham and Chislehurst North,9987.0,70.0,76.6,81.2
56,Westminster - Vincent Square,9988.0,39.0,80.3,90.4
57,Kensington and Chelsea - Abingdon,10013.0,62.2,84.6,87.1
58,Barking and Dagenham - Chadwell Heath,10021.0,76.7,78.9,82.7
59,Merton - Longthornton,10024.0,74.1,78.2,84.0
60,Harrow - Pinner,10026.0,62.5,80.7,84.9
61,Sutton - Carshalton Central,10039.0,60.5,82.9,85.4
62,Sutton - Belmont,10048.0,65.5,78.6,82.1
63,Harrow - Headstone North,10093.0,47.6,81.3,85.4
64,Kingston upon Thames - Norbiton,10107.0,67.4,76.2,78.2
65,Kingston upon Thames - Beverley,10109.0,66.1,76.8,80.0
66,Richmond upon Thames - Fulwell and Hampton Hill,10131.0,69.6,78.4,80.7
67,Sutton - The Wrythe,10163.0,63.8,77.5,83.9
68,Sutton - Wallington South,10200.0,53.0,178.0,81.7
69,Westminster - Maida Vale,10210.0,71.6,87.6,88.8
70,Richmond upon Thames - Hampton Wick,10221.0,60.9,79.7,84.4
71,Kingston upon Thames - Chessington South,10232.0,60.9,80.0,83.3
72,Merton - Lavender Fields,10273.0,76.2,80.8,80.9
73,Sutton - Cheam,10285.0,46.3,82.3,83.0
74,Tower Hamlets - Spitalfields and Banglatown,10286.0,35.7,92.7,93.7
75,Merton - Pollards Hill,10287.0,81.0,80.2,85.2
76,Waltham Forest - Chingford Green,10287.0,60.6,77.7,84.4
77,Richmond upon Thames - Barnes,10299.0,64.0,82.3,84.8
78,Westminster - Bayswater,10300.0,43.2,91.6,85.1
79,Sutton - Beddington North,10309.0,69.2,79.3,83.0
80,Richmond upon Thames - Heathfield,10313.0,80.0,80.2,82.3
81,"Richmond upon Thames - Ham, Petersham & Richmond Riverside",10317.0,68.8,78.3,86.4
82,Merton - Abbey,10323.0,52.6,80.0,81.0
83,Richmond upon Thames - Teddington,10330.0,51.9,81.9,83.4
84,Barking and Dagenham - Mayesbrook,10342.0,104.5,76.6,82.2
85,Richmond upon Thames - East Sheen,10348.0,85.9,84.5,88.5
86,Sutton - Sutton North,10355.0,60.5,76.9,82.9
87,Kingston upon Thames - Coombe Hill,10357.0,43.9,80.4,83.0
88,Westminster - Marylebone High Street,10366.0,36.5,84.4,83.9
89,Harrow - West Harrow,10373.0,60.8,81.4,82.6
90,Barking and Dagenham - Alibon,10385.0,103.7,76.3,80.9
91,Hillingdon - Ickenham,10387.0,57.1,81.9,85.4
92,Richmond upon Thames - Twickenham Riverside,10396.0,73.8,78.4,81.0
93,Greenwich - Eltham West,10399.0,47.9,74.2,81.7
94,Harrow - Pinner South,10411.0,61.1,82.7,93.1
95,Merton - St. Helier,10414.0,98.3,78.6,81.6
96,Bexley - Barnehurst,10418.0,61.0,78.6,85.8
97,Redbridge - Monkhams,10422.0,53.7,80.9,82.5
98,Bexley - Longlands,10442.0,52.5,79.6,81.3
99,Kingston upon Thames - Surbiton Hill,10459.0,54.2,79.1,81.9
100,Hillingdon - Northwood,10469.0,50.4,81.4,83.9
101,Kingston upon Thames - St. Mark's,10483.0,54.8,81.4,81.3
102,Bexley - St. Mary's,10491.0,61.2,80.7,92.6
103,Barking and Dagenham - Eastbrook,10506.0,65.9,76.6,79.0
104,Richmond upon Thames - West Twickenham,10528.0,88.4,79.2,83.4
105,Sutton - Sutton West,10536.0,63.2,79.4,82.2
106,Bexley - Brampton,10546.0,43.9,80.4,84.9
107,Westminster - West End,10575.0,38.1,93.2,99.6
108,Barking and Dagenham - Whalebone,10575.0,84.0,81.0,84.1
109,Bexley - Northumberland Heath,10598.0,50.0,78.5,82.9
110,Hillingdon - West Ruislip,10611.0,55.8,80.4,85.3
111,Bexley - Blackfen and Lamorbey,10616.0,53.3,84.2,84.6
112,Westminster - Little Venice,10633.0,70.0,80.2,92.5
113,Sutton - Nonsuch,10641.0,52.0,81.6,87.4
114,Richmond upon Thames - North Richmond,10649.0,76.4,83.8,86.1
115,Sutton - Wallington North,10650.0,77.5,78.9,81.3
116,Sutton - Beddington South,10667.0,59.6,76.9,83.7
117,Newham - Royal Docks,10679.0,63.9,80.6,83.1
118,Harrow - Hatch End,10693.0,55.3,82.0,84.3
119,Merton - Colliers Wood,10712.0,62.9,77.6,83.3
120,Sutton - Stonecot,10712.0,45.6,78.7,85.2
121,Barking and Dagenham - Thames,10728.0,115.1,79.2,84.2
122,Waltham Forest - Endlebury,10730.0,54.9,80.4,84.4
123,Haringey - Muswell Hill,10784.0,56.3,77.4,81.5
124,Hammersmith and Fulham - Ravenscourt Park,10785.0,47.0,78.3,86.2
125,Barking and Dagenham - Heath,10786.0,83.4,75.1,79.3
126,Barking and Dagenham - Village,10787.0,99.1,76.0,80.9
127,Bexley - Falconwood and Welling,10800.0,58.1,78.2,82.8
128,Croydon - New Addington,10801.0,72.7,74.4,80.5
129,Hammersmith and Fulham - Parsons Green and Walham,10813.0,61.6,80.3,84.6
130,Richmond upon Thames - South Richmond,10820.0,55.2,78.7,83.6
131,Westminster - St. James's,10828.0,37.2,80.4,86.4
132,Bexley - Sidcup,10844.0,43.7,76.4,78.8
133,Bexley - East Wickham,10858.0,71.2,79.0,84.0
134,Bexley - Danson Park,10864.0,53.6,79.8,84.3
135,Camden - Bloomsbury,10892.0,22.1,77.2,81.6
136,Bexley - Blendon and Penhill,10910.0,59.0,82.4,85.3
137,Richmond upon Thames - Mortlake and Barnes Common,10919.0,96.8,77.8,85.5
138,Barking and Dagenham - River,10923.0,80.4,73.2,77.9
139,Kingston upon Thames - Grove,10955.0,52.9,77.7,88.8
140,Camden - Highgate,10955.0,45.9,82.3,84.1
141,Bexley - Christchurch,10965.0,61.9,77.8,80.9
142,Sutton - Sutton Central,10993.0,78.5,75.7,80.3
143,Hammersmith and Fulham - Fulham Broadway,10996.0,50.4,76.2,79.4
144,Hammersmith and Fulham - Munster,11004.0,54.5,85.3,84.5
145,Waltham Forest - Hatch Lane,11058.0,73.8,78.6,82.9
146,Hackney - Brownswood,11091.0,41.0,77.9,83.9
147,Hackney - King's Park,11098.0,66.2,77.2,85.7
148,Harrow - Rayners Lane,11124.0,64.9,82.1,85.0
149,Bexley - Colyers,11128.0,85.7,78.2,80.2
150,Bexley - St. Michael's,11135.0,56.4,83.2,88.4
151,Harrow - Headstone South,11135.0,73.0,80.0,89.5
152,Harrow - Kenton East,11138.0,60.4,78.2,85.9
153,Richmond upon Thames - St. Margarets & North Twickenham,11172.0,61.7,84.1,94.5
154,Harrow - Kenton West,11173.0,64.8,82.0,86.6
155,Merton - Wimbledon Park,11197.0,81.1,84.7,86.1
156,Hammersmith and Fulham - Town,11201.0,47.3,78.8,81.1
157,Bexley - Cray Meadows,11207.0,61.7,76.9,79.5
158,Bexley - Crayford,11226.0,64.2,77.4,87.5
159,Harrow - Stanmore Park,11229.0,67.4,80.2,81.1
160,Merton - Figge's Marsh,11240.0,114.6,75.9,80.2
161,Westminster - Abbey Road,11250.0,68.5,81.5,85.1
162,Camden - Gospel Oak,11264.0,53.7,74.9,82.5
163,Barking and Dagenham - Goresbrook,11267.0,97.4,79.3,81.4
164,Camden - Hampstead Town,11270.0,57.5,82.7,86.6
165,Hammersmith and Fulham - Fulham Reach,11306.0,40.9,82.0,92.7
166,Waltham Forest - Larkswood,11337.0,71.4,77.5,83.6
167,Harrow - Belmont,11343.0,81.1,82.1,85.5
168,Hounslow - Chiswick Homefields,11346.0,52.3,78.7,83.6
169,Bexley - Lesnes Abbey,11346.0,75.5,79.6,84.3
170,Waltham Forest - Hale End and Highams Park,11355.0,75.5,80.2,84.3
171,Harrow - Harrow Weald,11376.0,65.1,80.6,85.7
172,Harrow - Wealdstone,11394.0,94.0,75.5,81.4
173,Hounslow - Hanworth Park,11408.0,72.7,77.7,82.4
174,Hounslow - Hounslow South,11409.0,60.7,83.6,88.7
175,Richmond upon Thames - Kew,11436.0,66.7,79.0,88.4
176,Hillingdon - Manor,11442.0,53.6,80.0,83.1
177,Waltham Forest - Valley,11444.0,75.2,77.5,80.9
178,Hounslow - Turnham Green,11448.0,52.2,77.9,83.8
179,Merton - Cricket Green,11474.0,120.0,78.5,87.0
180,Barking and Dagenham - Longbridge,11478.0,98.4,76.5,82.4
181,Croydon - Fieldway,11479.0,78.1,75.4,78.6
182,Islington - Clerkenwell,11490.0,29.2,77.6,84.9
183,Redbridge - Church End,11516.0,67.5,81.4,84.6
184,Hammersmith and Fulham - Addison,11518.0,49.4,78.8,88.6
185,Hounslow - Chiswick Riverside,11543.0,76.7,85.4,82.2
186,Redbridge - Wanstead,11543.0,70.2,79.9,84.3
187,Barking and Dagenham - Becontree,11545.0,67.4,75.3,81.0
188,Islington - St. Mary's,11553.0,47.0,73.6,82.4
189,Southwark - East Walworth,11557.0,58.2,74.5,81.9
190,Hounslow - Feltham North,11563.0,84.3,73.5,77.3
191,Bexley - North End,11566.0,89.6,74.0,79.0
192,Hillingdon - Northwood Hills,11578.0,76.7,78.9,86.0
193,Hammersmith and Fulham - North End,11589.0,42.3,79.1,89.8
194,Barking and Dagenham - Eastbury,11624.0,90.9,79.9,85.2
195,Sutton - Wandle Valley,11630.0,79.3,77.3,84.6
196,Haringey - Highgate,11632.0,50.0,79.5,85.4
197,Islington - Highbury East,11634.0,64.2,76.7,80.5
198,Harrow - Edgware,11653.0,91.0,79.6,83.9
199,Sutton - Worcester Park,11655.0,83.0,81.1,83.7
200,Redbridge - Bridge,11658.0,50.0,79.4,83.6
201,Hillingdon - Cavendish,11658.0,59.2,80.6,84.0
202,Harrow - Roxeth,11663.0,69.2,81.6,82.6
203,Croydon - Selsdon and Ballards,11719.0,51.8,84.5,89.4
204,Hackney - Wick,11734.0,53.4,74.9,82.7
205,Camden - Fortune Green,11740.0,52.6,80.7,84.8
206,Haringey - Stroud Green,11758.0,40.0,77.0,89.9
207,Westminster - Church Street,11760.0,54.3,73.4,76.4
208,Islington - Hillrise,11794.0,56.8,74.9,80.6
209,Haringey - Alexandra,11795.0,65.8,79.2,83.5
210,Southwark - College,11812.0,69.5,75.8,81.6
211,Islington - St. Peter's,11822.0,62.3,76.7,80.1
212,Camden - King's Cross,11843.0,34.1,76.9,81.5
213,Redbridge - Snaresbrook,11865.0,68.8,77.9,84.8
214,Bexley - Belvedere,11890.0,78.6,77.9,82.5
215,Hammersmith and Fulham - Hammersmith Broadway,11923.0,43.4,74.0,81.9
216,Camden - Cantelowes,11925.0,46.0,77.2,82.5
217,Sutton - St. Helier,11949.0,86.2,75.8,81.1
218,Hounslow - Isleworth,11977.0,89.7,74.9,82.9
219,Havering - Emerson Park,11977.0,52.2,78.7,81.3
220,Harrow - Queensbury,11984.0,68.8,77.7,85.2
221,Camden - Frognal and Fitzjohns,11986.0,55.6,80.0,85.6
222,Westminster - Bryanston and Dorset Square,11991.0,56.0,85.6,88.7
223,Islington - Junction,12025.0,40.0,77.0,83.3
224,Westminster - Harrow Road,12034.0,77.5,77.1,92.1
225,Camden - Kilburn,12038.0,59.4,72.0,78.9
226,Redbridge - Roding,12044.0,68.0,80.3,83.8
227,Hillingdon - Uxbridge North,12048.0,63.1,77.2,83.0
228,Bexley - Erith,12053.0,106.7,78.3,82.8
229,Camden - West Hampstead,12060.0,55.6,77.9,83.0
230,Westminster - Regent's Park,12067.0,54.1,80.9,83.5
231,Islington - Canonbury,12072.0,50.0,74.7,84.1
232,Bexley - Thamesmead East,12094.0,117.0,77.9,83.8
233,Brent - Kenton,12133.0,57.9,83.7,86.2
234,Hillingdon - Eastcote and East Ruislip,12142.0,54.3,80.5,87.4
235,Hounslow - Hanworth,12155.0,85.0,77.5,87.1
236,Hammersmith and Fulham - Shepherd's Bush Green,12175.0,52.6,72.7,85.4
237,Hillingdon - Heathrow Villages,12199.0,86.9,75.8,82.8
238,Islington - Barnsbury,12201.0,45.1,75.0,79.5
239,Hackney - Clissold,12212.0,60.9,77.1,83.5
240,Hammersmith and Fulham - Avonmore and Brook Green,12216.0,43.0,79.2,82.9
241,Croydon - Coulsdon East,12244.0,65.1,81.8,85.7
242,Bromley - Crystal Palace,12255.0,70.6,75.5,82.0
243,Harrow - Marlborough,12259.0,75.1,78.9,84.3
244,Havering - Hacton,12262.0,45.4,80.6,85.2
245,Harrow - Harrow on the Hill,12270.0,78.4,81.2,84.2
246,Hackney - Lordship,12280.0,111.6,75.1,84.8
247,Hounslow - Heston Central,12288.0,80.8,77.2,83.2
248,Hounslow - Heston East,12319.0,83.5,85.6,86.2
249,Southwark - East Dulwich,12321.0,76.7,81.2,82.9
250,Hounslow - Cranford,12330.0,117.4,78.4,86.8
251,Hillingdon - South Ruislip,12364.0,82.1,77.6,83.8
252,Camden - Haverstock,12364.0,65.9,76.7,81.4
